deck,korean,issue
set-01-body,"이","headword ""tooth"" may not align with sentenceEnglish"
set-01-body,"이","romanization length outlier vs korean"
set-01-body,"볼","sentenceEnglish matches awkward pattern: /^It is /"
set-01-body,"허리","headword ""waist, lower back"" may not align with sentenceEnglish"
set-01-body,"발","headword ""foot"" may not align with sentenceEnglish"
set-02-family,"아이","romanization length outlier vs korean"
set-02-family,"부부","headword ""married couple"" may not align with sentenceEnglish"
set-02-family,"형","romanization length outlier vs korean"
set-02-family,"이모","headword ""mother's sister, aunt"" may not align with sentenceEnglish"
set-02-family,"고모","headword ""father's sister, aunt"" may not align with sentenceEnglish"
set-03-greetings,"잘 자요","sentenceEnglish matches awkward pattern: /^It is /"
set-03-greetings,"천만에요","sentenceEnglish matches awkward pattern: /^It is /"
set-03-greetings,"천만에요","headword ""you're welcome"" may not align with sentenceEnglish"
set-04-time,"오전","sentenceEnglish matches awkward pattern: /^There is /"
set-04-time,"시간","headword ""hour, time"" may not align with sentenceEnglish"
set-04-time,"다음 주","sentenceEnglish matches awkward pattern: /^There is /"
set-05-position,"앞","sentenceEnglish matches awkward pattern: /^There is /"
set-05-position,"뒤","headword ""back, behind"" may not align with sentenceEnglish"
set-05-position,"위","headword ""above, on top of"" may not align with sentenceEnglish"
set-05-position,"아래","headword ""below, under"" may not align with sentenceEnglish"
set-05-position,"안","sentenceEnglish matches awkward pattern: /^There is /"
set-05-position,"밖","sentenceEnglish matches awkward pattern: /^It is /"
set-05-position,"옆","headword ""beside, next to"" may not align with sentenceEnglish"
set-05-position,"가운데","sentenceEnglish matches awkward pattern: /^There is /"
set-05-position,"근처","sentenceEnglish matches awkward pattern: /^There is /"
set-05-position,"주변","headword ""surroundings, vicinity"" may not align with sentenceEnglish"
set-05-position,"위층","sentenceEnglish matches awkward pattern: /^There is /"
set-05-position,"지하","headword ""underground, basement"" may not align with sentenceEnglish"
set-05-position,"층","romanization length outlier vs korean"
set-05-position,"장소","headword ""place, venue"" may not align with sentenceEnglish"
set-05-position,"위치","headword ""position, location"" may not align with sentenceEnglish"
set-05-position,"길","headword ""road, street"" may not align with sentenceEnglish"
set-05-position,"모퉁이","sentenceEnglish matches awkward pattern: /^There is /"
set-06-house,"화장실","headword ""bathroom, restroom"" may not align with sentenceEnglish"
set-06-house,"담요","sentenceEnglish matches awkward pattern: /^There is /"
set-06-house,"책상","sentenceEnglish matches awkward pattern: /^There is /"
set-06-house,"그림","headword ""picture, painting"" may not align with sentenceEnglish"
set-06-house,"수건","sentenceEnglish matches awkward pattern: /^There is /"
set-06-house,"냉장고","sentenceEnglish matches awkward pattern: /^There is /"
set-07-connectors,"그래서","sentenceEnglish matches awkward pattern: /^It is /"
set-07-connectors,"그래도","headword ""still, even so"" may not align with sentenceEnglish"
set-07-connectors,"반대로","sentenceEnglish matches awkward pattern: /^It is /"
set-07-connectors,"그다음에","headword ""next, after that"" may not align with sentenceEnglish"
set-08-animals,"조개","headword ""clam, shellfish"" may not align with sentenceEnglish"
set-08-animals,"해파리","sentenceEnglish matches awkward pattern: /^It is /"
set-08-animals,"파리","sentenceEnglish matches awkward pattern: /^There is /"
set-09-markers,"는","sentenceEnglish matches awkward pattern: /^I am a /"
set-09-markers,"이","sentenceEnglish matches awkward pattern: /^There is /"
set-09-markers,"이","romanization length outlier vs korean"
set-09-markers,"에","romanization length outlier vs korean"
set-09-markers,"의","sentenceEnglish matches awkward pattern: /^It is /"
set-09-markers,"밖에","sentenceEnglish matches awkward pattern: /^There is /"
set-11-numbers,"하나","sentenceEnglish matches awkward pattern: /^There is /"
set-11-numbers,"일","sentenceEnglish matches awkward pattern: /^There is /"
set-11-numbers,"이 살","romanization length outlier vs korean"
set-11-numbers,"오","romanization length outlier vs korean"
set-11-numbers,"명","headword ""counter for people"" may not align with sentenceEnglish"
set-11-numbers,"명","romanization length outlier vs korean"
set-11-numbers,"마리","headword ""counter for animals"" may not align with sentenceEnglish"
set-11-numbers,"살","headword ""counter for age"" may not align with sentenceEnglish"
set-11-numbers,"세 시","romanization length outlier vs korean"
set-11-numbers,"권","headword ""counter for books"" may not align with sentenceEnglish"
set-11-numbers,"대","sentenceEnglish matches awkward pattern: /^There is /"
set-11-numbers,"대","headword ""counter for vehicles, machines"" may not align with sentenceEnglish"
set-11-numbers,"그릇","headword ""counter for bowls of food"" may not align with sentenceEnglish"
set-12-food,"밥","headword ""rice, meal"" may not align with sentenceEnglish"
set-13-adjectives,"적다","sentenceEnglish matches awkward pattern: /^There is /"
set-14-places,"체육관","headword ""gymnasium"" may not align with sentenceEnglish"
set-15-colors,"혼합","headword ""mixing, blend"" may not align with sentenceEnglish"
set-16-shopping,"대형마트","headword ""large supermarket, hypermarket"" may not align with sentenceEnglish"
set-16-shopping,"물건","headword ""thing, goods, item"" may not align with sentenceEnglish"
set-16-shopping,"돈","sentenceEnglish matches awkward pattern: /^I am a /"
set-16-shopping,"쿠폰","sentenceEnglish matches awkward pattern: /^It is /"
set-16-shopping,"재고","sentenceEnglish matches awkward pattern: /^There is /"
set-16-shopping,"결제","headword ""payment"" may not align with sentenceEnglish"
set-16-shopping,"현찰","sentenceEnglish matches awkward pattern: /^It is /"
set-16-shopping,"계좌","headword ""bank account"" may not align with sentenceEnglish"
set-16-shopping,"포장","headword ""packaging, wrapping"" may not align with sentenceEnglish"
set-17-weather,"습도","sentenceEnglish matches awkward pattern: /^It is /"
set-17-weather,"폭우","headword ""heavy rain, downpour"" may not align with sentenceEnglish"
set-17-weather,"맑은","sentenceEnglish matches awkward pattern: /^It is /"
set-17-weather,"흐린","sentenceEnglish matches awkward pattern: /^It is /"
set-17-weather,"습한","sentenceEnglish matches awkward pattern: /^There is /"
set-17-weather,"건조한","sentenceEnglish matches awkward pattern: /^There is /"
set-18-clothing,"후드","headword ""hoodie"" may not align with sentenceEnglish"
set-18-clothing,"양복","headword ""Western suit"" may not align with sentenceEnglish"
set-18-clothing,"가방","sentenceEnglish matches awkward pattern: /^There is /"
set-18-clothing,"소재","headword ""material, fabric"" may not align with sentenceEnglish"
set-18-clothing,"신어요","headword ""wear (shoes, polite)"" may not align with sentenceEnglish"
set-19-health,"보건소","headword ""public health center"" may not align with sentenceEnglish"
set-19-health,"주사","headword ""injection, shot"" may not align with sentenceEnglish"
set-20-school,"체육","headword ""physical education"" may not align with sentenceEnglish"
set-20-school,"시험","sentenceEnglish matches awkward pattern: /^There is /"
set-20-school,"시험","headword ""exam, test"" may not align with sentenceEnglish"
set-20-school,"운동장","headword ""school playground"" may not align with sentenceEnglish"
set-21-work,"회의","sentenceEnglish matches awkward pattern: /^There is /"
set-21-work,"출근","sentenceEnglish matches awkward pattern: /^It is /"
set-21-work,"조퇴","headword ""leaving work early"" may not align with sentenceEnglish"
set-21-work,"경력","headword ""career, experience"" may not align with sentenceEnglish"
set-21-work,"경력","romanization length outlier vs korean"
set-22-hobbies,"연주","headword ""musical performance"" may not align with sentenceEnglish"
set-22-hobbies,"여행","headword ""travel, trip"" may not align with sentenceEnglish"
set-23-transport,"승차권","headword ""boarding pass, ticket"" may not align with sentenceEnglish"
set-23-transport,"주차","sentenceEnglish matches awkward pattern: /^There is /"
set-24-kitchen,"된장","headword ""soybean paste"" may not align with sentenceEnglish"
set-25-sino-days,"월요일","sentenceEnglish matches awkward pattern: /^There is /"
set-25-sino-days,"금지","headword ""prohibition, ban"" may not align with sentenceEnglish"
set-25-sino-days,"일치","headword ""agreement, match"" may not align with sentenceEnglish"
set-26-emotions,"당황","headword ""embarrassment, fluster"" may not align with sentenceEnglish"
set-26-emotions,"무섭다","sentenceEnglish matches awkward pattern: /^It is /"
set-27-nature,"언덕","sentenceEnglish matches awkward pattern: /^There is /"
set-27-nature,"반도","sentenceEnglish matches awkward pattern: /^There is /"
set-27-nature,"덤불","sentenceEnglish matches awkward pattern: /^There is /"
set-27-nature,"이끼","sentenceEnglish matches awkward pattern: /^There is /"
set-28-technology,"저장","headword ""save, storage"" may not align with sentenceEnglish"
set-28-technology,"하드웨어","sentenceEnglish matches awkward pattern: /^It is /"
set-30-culture,"추석","headword ""Korean harvest festival"" may not align with sentenceEnglish"
set-30-culture,"김장","headword ""kimchi-making season"" may not align with sentenceEnglish"
set-30-culture,"조상","sentenceEnglish matches awkward pattern: /^It is /"
set-30-culture,"송편","headword ""half-moon rice cake"" may not align with sentenceEnglish"
set-30-culture,"전","headword ""savory pancake"" may not align with sentenceEnglish"
set-30-culture,"부침개","headword ""Korean pancake"" may not align with sentenceEnglish"
set-30-culture,"윷놀이","headword ""traditional board game"" may not align with sentenceEnglish"
set-30-culture,"연등","headword ""lotus lantern"" may not align with sentenceEnglish"
set-30-culture,"백일","headword ""100th-day celebration"" may not align with sentenceEnglish"
set-30-culture,"칠순","sentenceEnglish matches awkward pattern: /^There is /"
set-30-culture,"전통","sentenceEnglish matches awkward pattern: /^It is /"
set-30-culture,"한옥","headword ""traditional Korean house"" may not align with sentenceEnglish"
set-30-culture,"탈","headword ""traditional mask"" may not align with sentenceEnglish"
set-30-culture,"사물놀이","headword ""four-instrument folk music"" may not align with sentenceEnglish"
set-30-culture,"판소리","headword ""traditional narrative singing"" may not align with sentenceEnglish"
set-30-culture,"태극기","headword ""Korean national flag"" may not align with sentenceEnglish"
set-31-formal-speech,"주무십니다","headword ""sleeps (honorific formal)"" may not align with sentenceEnglish"
set-32-counters,"장","headword ""counter for sheets, tickets"" may not align with sentenceEnglish"
set-32-counters,"병","headword ""counter for bottles"" may not align with sentenceEnglish"
set-32-counters,"병","romanization length outlier vs korean"
set-32-counters,"잔","headword ""counter for cups, glasses"" may not align with sentenceEnglish"
set-32-counters,"켤레","headword ""counter for pairs of shoes"" may not align with sentenceEnglish"
set-32-counters,"그루","headword ""counter for trees"" may not align with sentenceEnglish"
set-32-counters,"채","headword ""counter for houses, buildings"" may not align with sentenceEnglish"
set-32-counters,"송이","headword ""counter for bunches"" may not align with sentenceEnglish"
set-32-counters,"자루","headword ""counter for long handled items"" may not align with sentenceEnglish"
set-32-counters,"봉지","headword ""counter for bags"" may not align with sentenceEnglish"
set-32-counters,"상자","headword ""counter for boxes"" may not align with sentenceEnglish"
set-32-counters,"통","headword ""counter for cans, jars"" may not align with sentenceEnglish"
set-32-counters,"포","headword ""counter for bundles of ten"" may not align with sentenceEnglish"
set-32-counters,"묶음","headword ""counter for bundles"" may not align with sentenceEnglish"
set-32-counters,"다발","headword ""counter for bouquets"" may not align with sentenceEnglish"
set-32-counters,"봉","headword ""counter for skeins, coils"" may not align with sentenceEnglish"
set-32-counters,"다스","headword ""counter for dozen"" may not align with sentenceEnglish"
set-32-counters,"조각","headword ""counter for pieces"" may not align with sentenceEnglish"
set-32-counters,"판","headword ""counter for boards, trays"" may not align with sentenceEnglish"
set-32-counters,"줄","headword ""counter for rows, lines"" may not align with sentenceEnglish"
set-32-counters,"알","headword ""counter for small round items"" may not align with sentenceEnglish"
set-32-counters,"톨","headword ""counter for pills, kernels"" may not align with sentenceEnglish"
set-32-counters,"쪽","headword ""counter for pages, letters"" may not align with sentenceEnglish"
set-32-counters,"접","headword ""counter for folded stacks"" may not align with sentenceEnglish"
set-32-counters,"근","headword ""counter for about 600 grams"" may not align with sentenceEnglish"
set-32-counters,"갑","headword ""counter for medicine boxes"" may not align with sentenceEnglish"
set-32-counters,"척","headword ""counter for ships"" may not align with sentenceEnglish"
set-32-counters,"편","headword ""counter for vehicles, flights, letters"" may not align with sentenceEnglish"
set-32-counters,"곡","headword ""counter for songs"" may not align with sentenceEnglish"
set-32-counters,"마디","headword ""counter for joints, verses"" may not align with sentenceEnglish"
set-32-counters,"낱개","headword ""counter for individual items"" may not align with sentenceEnglish"
set-33-produce,"오이","romanization length outlier vs korean"
set-34-home-life,"걸레","headword ""cleaning cloth, rag"" may not align with sentenceEnglish"
set-34-home-life,"건조기","headword ""clothes dryer"" may not align with sentenceEnglish"
set-34-home-life,"얼룩","sentenceEnglish matches awkward pattern: /^There is /"
set-35-travel,"체크인","headword ""check-in"" may not align with sentenceEnglish"
set-35-travel,"체크아웃","headword ""check-out"" may not align with sentenceEnglish"
set-35-travel,"객실","headword ""hotel room, guest room"" may not align with sentenceEnglish"
set-35-travel,"출국","headword ""departure from country"" may not align with sentenceEnglish"
